topology,beta_level,beta_a,beta_b,replication,seed,alpha,final_alignment,mean_alignment
ER,Low heterogeneity,5.0,5.0,44,1942384,0.3,0.33536873765769637,0.4208167044069239
ER,Low heterogeneity,5.0,5.0,44,1942384,0.5,0.33034785174130504,0.4134206044303829
ER,Low heterogeneity,5.0,5.0,44,1942384,0.7,0.15201809538380173,0.2488303431056424
ER,Low heterogeneity,5.0,5.0,44,1942384,0.9,0.14236428229996,0.23557078359943753
ER,Low heterogeneity,5.0,5.0,44,1942384,1.0,0.15397188860665953,0.24426327549449164
ER,Low heterogeneity,5.0,5.0,45,1942385,0.0,0.4288073169117112,0.4963399347225014
ER,Low heterogeneity,5.0,5.0,45,1942385,0.3,0.4062915719989736,0.4730841395410935
ER,Low heterogeneity,5.0,5.0,45,1942385,0.5,0.30431470850766706,0.37161113618628794
ER,Low heterogeneity,5.0,5.0,45,1942385,0.7,0.16995030997592336,0.2456182678208132
ER,Low heterogeneity,5.0,5.0,45,1942385,0.9,0.14277540356875684,0.22052254385167153
ER,Low heterogeneity,5.0,5.0,45,1942385,1.0,0.13434368530147384,0.21337260852505072
ER,Low heterogeneity,5.0,5.0,46,1942386,0.0,0.6128648414663422,0.6391119998079073
ER,Low heterogeneity,5.0,5.0,46,1942386,0.3,0.5376358702558252,0.5690464381248669
ER,Low heterogeneity,5.0,5.0,46,1942386,0.5,0.42095491314562905,0.4621602077212238
ER,Low heterogeneity,5.0,5.0,46,1942386,0.7,0.239153683672991,0.2967671239690595
ER,Low heterogeneity,5.0,5.0,46,1942386,0.9,0.18303037291333865,0.24519384831781368
ER,Low heterogeneity,5.0,5.0,46,1942386,1.0,0.18074399454046508,0.24256392260024423
ER,Low heterogeneity,5.0,5.0,47,1942387,0.0,0.3325034434232537,0.39901026584021987
ER,Low heterogeneity,5.0,5.0,47,1942387,0.3,0.31636346856221587,0.38528853253366807
ER,Low heterogeneity,5.0,5.0,47,1942387,0.5,0.22894770487117247,0.31589992893313207
ER,Low heterogeneity,5.0,5.0,47,1942387,0.7,0.1689608207099314,0.26586665869318254
